product_id,location_id,day_date,sales_units,sales_value
SKU-1001,47,2025-05-11,3,82.47
SKU-1001,47,2025-05-13,1,27.49
SKU-1001,47,2025-05-16,4,109.96
SKU-1001,47,2025-05-17,1,27.49
SKU-1001,47,2025-05-20,2,54.98
SKU-1001,47,2025-05-28,4,109.96
SKU-1001,47,2025-05-30,3,82.47
SKU-1001,47,2025-05-31,4,109.96
SKU-1001,47,2025-06-01,3,82.47
SKU-1001,47,2025-06-14,2,54.98
SKU-1001,47,2025-06-22,3,82.47
SKU-1001,47,2025-06-28,2,54.98
SKU-1001,47,2025-06-29,4,109.96
SKU-1001,47,2025-07-06,1,27.49
SKU-1001,47,2025-07-09,5,137.45
SKU-1001,47,2025-07-26,1,27.49
SKU-1001,47,2025-07-28,2,54.98
SKU-1001,47,2025-07-31,4,109.96
SKU-1001,47,2025-08-07,5,137.45
SKU-1001,47,2025-08-12,1,27.49
SKU-1001,47,2025-08-17,1,27.49
SKU-1001,47,2025-08-22,2,54.98
SKU-1001,47,2025-08-26,3,82.47
SKU-1001,47,2025-08-28,3,82.47
SKU-1001,47,2025-09-01,5,137.45
SKU-1001,47,2025-09-03,4,109.96
SKU-1001,47,2025-09-07,4,109.96
SKU-1001,47,2025-09-09,5,137.45
SKU-1001,47,2025-09-21,2,54.98
SKU-1001,47,2025-09-22,1,27.49
SKU-1001,47,2025-09-26,1,27.49
SKU-1001,47,2025-09-30,2,54.98
SKU-1001,47,2025-10-10,4,109.96
SKU-1001,47,2025-10-14,1,27.49
SKU-1001,47,2025-10-15,3,82.47
SKU-1001,47,2025-10-17,2,54.98
SKU-1001,47,2025-10-18,4,109.96
SKU-1001,47,2025-10-19,2,54.98
SKU-1001,47,2025-10-26,5,137.45
SKU-1001,47,2025-10-31,4,109.96
SKU-1001,47,2025-11-04,1,27.49
SKU-1001,47,2025-11-14,3,82.47
SKU-1001,47,2025-11-16,5,137.45
SKU-1001,47,2025-11-17,3,82.47
SKU-1001,47,2025-11-18,5,137.45
SKU-1001,47,2025-11-22,5,137.45
SKU-1001,47,2025-11-23,2,54.98
SKU-1001,47,2025-11-24,1,27.49
SKU-1001,47,2025-11-27,5,137.45
SKU-1001,47,2025-12-13,4,109.96
SKU-1001,47,2025-12-16,5,137.45
SKU-1001,47,2025-12-23,5,137.45
SKU-1001,47,2025-12-28,5,137.45
SKU-1001,47,2026-01-01,1,27.49
SKU-1001,47,2026-01-04,3,82.47
SKU-1001,47,2026-01-13,4,109.96
SKU-1001,47,2026-01-15,3,82.47
SKU-1001,47,2026-01-22,1,27.49
SKU-1001,47,2026-01-25,1,27.49
SKU-1001,47,2026-01-28,2,54.98
SKU-1001,47,2026-01-29,3,82.47
SKU-1001,47,2026-02-05,5,137.45
SKU-1001,47,2026-02-09,2,54.98
SKU-1001,47,2026-02-14,3,82.47
SKU-1001,47,2026-02-20,1,27.49
SKU-1001,47,2026-02-22,4,109.96
SKU-1001,47,2026-03-01,2,54.98
SKU-1001,47,2026-03-04,3,82.47
SKU-1001,47,2026-03-10,3,82.47
SKU-1001,47,2026-03-11,3,82.47
SKU-1001,47,2026-03-12,5,137.45
SKU-1001,47,2026-03-22,5,137.45
SKU-1001,47,2026-03-26,4,109.96
SKU-1001,47,2026-03-27,3,82.47
SKU-1001,47,2026-03-30,3,82.47
SKU-1001,47,2026-04-05,4,109.96
SKU-1001,47,2026-04-11,3,82.47
SKU-1001,47,2026-04-26,2,54.98
SKU-1001,47,2026-04-29,1,27.49
